u0964	danda
u0965	doubledanda
u20A8	rs
u20B9	inr
u00A0	nbsp
u034F	cgj
u200B	zwsp
u200C	zwnj
u200D	zwj
u2060	wj
u25CC	dottedcircle
uFEFF	zwnbsp
u1CDA	doublesvarita
u0C80	spacingcandrabindu
u0C81	candrabindu
u0C82	anusvara
#u0C83	visarga
u0C84	siddham
u0C85	avowel
u0C86	aavowel
u0C87	ivowel
u0C88	iivowel
u0C89	uvowel
u0C8A	uuvowel
u0C8B	rvocalicvowel
u0C8C	lvocalicvowel
#u0C8D
u0C8E	evowel
u0C8F	eevowel
u0C90	aivowel
#u0C91
u0C92	ovowel
u0C93	oovowel
u0C94	auvowel
u0C95	ka
u0C96	kha
u0C97	ga
u0C98	gha
u0C99	nga
u0C9A	ca
u0C9B	cha
u0C9C	ja
u0C9D	jha
u0C9E	nya
u0C9F	tta
u0CA0	ttha
u0CA1	dda
u0CA2	ddha
u0CA3	nna
u0CA4	ta
u0CA5	tha
u0CA6	da
u0CA7	dha
u0CA8	na
#u0CA9
u0CAA	pa
u0CAB	pha
u0CAC	ba
u0CAD	bha
u0CAE	ma
u0CAF	ya
u0CB0	ra
u0CB1	rra
u0CB2	la
u0CB3	lla
u0CB4	llla
u0CB5	va
u0CB6	sha
u0CB7	ssa
u0CB8	sa
u0CB9	ha
u0CBA	ttta
#u0CBB
u0CBC	nukta
u0CBD	avagraha
u0CBE	aamatra
u0CBF	imatra
u0CC0	iimatra
u0CC1	umatra
u0CC2	uumatra
u0CC3	rvocalicmatra
u0CC4	rrvocalicmatra
#u0CC5
u0CC6	ematra
u0CC7	eematra
u0CC8	aimatra
#u0CC9
u0CCA	omatra
u0CCB	oomatra
u0CCC	aumatra
u0CCD	virama
#u0CCE
#u0CCF
#u0CD0
#u0CD1
#u0CD2
#u0CD3
#u0CD4
u0CD5	lengthmark
u0CD6	ailengthmark
#u0CD7
#u0CD8
#u0CD9
#u0CDA
#u0CDB
#u0CDC
#u0CDD
u0CDE	fa
#u0CDF
u0CE0	rrvocalicvowel
u0CE1	llvocalicvowel
u0CE2	lvocalicmatra
u0CE3	llvocalicmatra
#u0CE4
#u0CE5
u0CE6	zeroknda
u0CE7	oneknda
u0CE8	twoknda
u0CE9	threeknda
u0CEA	fourknda
u0CEB	fiveknda
u0CEC	sixknda
u0CED	sevenknda
u0CEE	eightknda
u0CEF	nineknda
#u0CF0
u0CF1	jihvamuliya
u0CF2	upadhmaniya
#u0CF3
#u0CF4
#u0CF5
#u0CF6
#u0CF7
#u0CF8
#u0CF9
#u0CFA
#u0CFB
#u0CFC
#u0CFD
#u0CFE
#u0CFF
#u0D00
u0D01	candrabindu
u0D02	anusvara
u0D03	visarga
#u0D04
u0D05	avowel
u0D06	aavowel
u0D07	ivowel
u0D08	iivowel
u0D09	uvowel
u0D0A	uuvowel
u0D0B	rvocalicvowel
u0D0C	lvocalicvowel
#u0D0D
u0D0E	evowel
u0D0F	eevowel
u0D10	aivowel
#u0D11
u0D12	ovowel
u0D13	oovowel
u0D14	auvowel
u0D15	ka
u0D16	kha
u0D17	ga
u0D18	gha
u0D19	nga
u0D1A	ca
u0D1B	cha
